Category,tags,Title,Product Url,Primary Industries Icones,Features,Images Url,Standards - Text,Standards - Icons Urls,Applications,Download Documments,Product Details - Product Name,Product Details - Material,Product Details - Liner,Product Details - Grip,Product Details - Cuff,Product Details - Sizes,Product Details - Length /mm,Product Details - Thickness* (mm) / Weight* (g),Product Details - Colours,Product Details - Finish,Product Details - Ratings Icons,Product Details - Text,Product Details - Gauge/ gg,Product Details - Length / inches,Product Details - Length,Product Details - Product Type,Product Details - Type,Product Details - Shape,Product Details - Surface,Product Details - Class Type,Product Details - Marking tag color,Product Details - Cuff profile,Product Details - Length inches,Product Details - Thickness(max) mm,Product Details - Color,Product Details - Size range,Product Details - PPE Category,Product Details - Proof test voltage AC (V),"Product Details - Maximum working
voltage AC (V)",Product Details - Withstand voltage AC (V),Product Details - Category,Product Details - Arc Flash (EN61482-1-2),Product Details - Grip/Finish,Product Details - Colours Options,Product Details - Gauge (gge),Product Details - Cuffs,Product Details - ,Product Details - Material- Palm,Product Details - Material- Back of Palm,Product Details - Coating
"Categories: All products, Unsupported",,Ambi Nitrile,https://www.dplgroup.com/product/ambi-nitrile/,https://www.dplgroup.com/wp-content/uploads/2021/12/Automotive-and-Transportation.jpg https://www.dplgroup.com/wp-content/uploads/2021/12/Food.jpg https://www.dplgroup.com/wp-content/uploads/2021/11/Industrial.jpg https://www.dplgroup.com/wp-content/uploads/2021/12/Material-Fabrication.jpg https://www.dplgroup.com/wp-content/uploads/2021/12/Oil-and-Mining.jpg https://www.dplgroup.com/wp-content/uploads/2021/12/Chemical.jpg ,"
Ambidextrous allowing the glove to be donned on either hand
Nitrile Rubber for good chemical resistance
Free of zinc mercaptobenzothiazole
Improved sensitivity and dexterity
Anti-slip pattern for good grip in wet and dry conditions
Anatomically shaped for comfort
Specially formulated for improved flexibility, sensitivity and dexterity
Ingredients comply with FDA regulations for food contact (Blue and Green only)
",https://www.dplgroup.com/wp-content/uploads/2021/11/Ambi-Nitrile-1-150x150.jpg https://www.dplgroup.com/wp-content/uploads/2021/11/Ambi-Nitrile-150x150.jpg ,"
PPE Regulation (EU) 2016/425
",https://www.dplgroup.com/wp-content/uploads/2021/12/CE-logo-new-2.jpg https://www.dplgroup.com/wp-content/uploads/2022/02/Book-e1643276242604.jpg https://www.dplgroup.com/wp-content/uploads/2022/02/EN-ISO-374-5-2016.jpg ,"
Automobile Industry
Food Industry
Industrial Cleaning
Metal Fabrication
Petrochemical Industry
Printing Industry
Surface Coating
",,Ambi Nitrile,Nitrile Rubber,Unlined,Wave Pattern,Beaded,"7, 8, 9, 10, 11",300 mm,0.28 mm,"Green, Blue",Chlorinated,https://www.dplgroup.com/wp-content/uploads/2021/11/EN-388-4-238x300.png https://www.dplgroup.com/wp-content/uploads/2021/11/Magneto-Pro-02-232x300.jpg ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Categories: All products, Supported",,Aqua C3,https://www.dplgroup.com/product/aqua-c3/,https://www.dplgroup.com/wp-content/uploads/2021/12/Automotive-and-Transportation.jpg https://www.dplgroup.com/wp-content/uploads/2021/12/Construction.jpg https://www.dplgroup.com/wp-content/uploads/2021/11/Industrial.jpg https://www.dplgroup.com/wp-content/uploads/2021/12/Oil-and-Mining.jpg https://www.dplgroup.com/wp-content/uploads/2021/12/Waste-management.jpg https://www.dplgroup.com/wp-content/uploads/2021/12/Agriculture-and-Farming.jpg ,"
TDM Cut Resistance Level “C”
Water Proof membrane for low water absorption
Micro foam Nitrile coating acts as a cushion to absorb vibrations
",https://www.dplgroup.com/wp-content/uploads/2021/11/Aqua-C5-new-150x150.jpg ,"
PPE Regulation (EU) 2016/425
",https://www.dplgroup.com/wp-content/uploads/2021/11/CE-logo-new-294x300.jpg https://www.dplgroup.com/wp-content/uploads/2022/01/Book-e1643276242604.jpg ,"
Oil and Gas Industry
Freezer and Cool Room Application
Water Resistant Applications
",,Aqua C3,Nitrile,"HPPE/Glass/Nylon/Spandex/
Cotton with Water Proof
Membrane",Micro Foam,Normal/Machine Overlocked,"7,8,9,10,11,12",,,Black coating on Black liner,Micro Foam,,EN 388- 4X43C,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Categories: All products, Supported",https://www.dplgroup.com/product-tag/occupational/,Aqua C5 / Aqua I-C5,https://www.dplgroup.com/product/aqua-c5-aqua-i-c5/,https://www.dplgroup.com/wp-content/uploads/2021/12/Automotive-and-Transportation.jpg https://www.dplgroup.com/wp-content/uploads/2021/12/Construction.jpg https://www.dplgroup.com/wp-content/uploads/2021/11/Industrial.jpg https://www.dplgroup.com/wp-content/uploads/2021/12/Oil-and-Mining.jpg https://www.dplgroup.com/wp-content/uploads/2021/12/Waste-management.jpg https://www.dplgroup.com/wp-content/uploads/2021/12/Cold-and-winter.jpg ,"
TDM Cut Resistance Level “D”
Water Proof membrane for low water absorption
Microfoam Nitrile coating acts as a cushion to absorb vibrations
Aqua I-C5 version provides impact protection to the back of the palm
",https://www.dplgroup.com/wp-content/uploads/2022/01/Aqua-C5-150x150.jpg https://www.dplgroup.com/wp-content/uploads/2022/01/Aqua-I-C5-150x150.jpg https://www.dplgroup.com/wp-content/uploads/2022/01/Aqua-C5-1-2-scaled-150x150.jpg ,"
PPE Regulation (EU) 2016/425
",https://www.dplgroup.com/wp-content/uploads/2021/11/CE-logo-new-294x300.jpg https://www.dplgroup.com/wp-content/uploads/2022/01/Book-e1643276242604.jpg ,"
Oil and Gas Industry
Freezer and Cool Room Application
Water Resistant Applications
",https://www.dplgroup.com/wp-content/uploads/2022/03/Aqua-IC5.pdf ,Aqua C5,Nitrile,"HPPE/Glass/Nylon/Spandex/
Cotton with Water Proof
Membrane",Micro-Foam,Normal Overlocked,"8, 9, 10",,,Black coating on Black liner,Micro-Foam,https://www.dplgroup.com/wp-content/uploads/2022/01/EN-511-4X42DP-150x150.jpg https://www.dplgroup.com/wp-content/uploads/2022/01/EN-511-XII-150x150.jpg , ,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Categories: All products, Supported",,Aqua Flex / Aqua I-flex,https://www.dplgroup.com/product/aqua-flex-aqua-i-flex/,https://www.dplgroup.com/wp-content/uploads/2021/12/Automotive-and-Transportation.jpg https://www.dplgroup.com/wp-content/uploads/2021/12/Construction.jpg https://www.dplgroup.com/wp-content/uploads/2021/12/Gardening.jpg https://www.dplgroup.com/wp-content/uploads/2021/11/Industrial.jpg https://www.dplgroup.com/wp-content/uploads/2021/12/Oil-and-Mining.jpg https://www.dplgroup.com/wp-content/uploads/2021/12/Cold-and-winter.jpg ,"
Water Proof membrane for low water absorption
Micro foam Nitrile coating acts as a cushion to absorb vibrations
Aqua I-Flex version provides impact protection
",https://www.dplgroup.com/wp-content/uploads/2022/01/Aqua-Flex-150x150.jpg https://www.dplgroup.com/wp-content/uploads/2022/01/Aqua-I-Flex-back-150x150.jpg https://www.dplgroup.com/wp-content/uploads/2022/01/Aqua-I-Flex-scaled.jpg ,"
PPE Regulation (EU) 2016/425
",https://www.dplgroup.com/wp-content/uploads/2021/11/CE-logo-new-294x300.jpg https://www.dplgroup.com/wp-content/uploads/2022/01/Book-e1643276242604.jpg ,"
Oil and Gas Industry
Freezer and Cool Room Application
Water Resistant Applications
",,Aqua Flex/ I-Flex,Nitrile,"Nylon/Spandex/Cotton with
Water Proof Membrane",Micro-Foam,Normal Overlocked,"8,9,10",,,Black coating on Black liner,Micro-Foam,,EN 388- 4141X / 4X43CP,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Categories: All products, Sleeves",,Arm Sleeve A2B,https://www.dplgroup.com/product/arm-sleeve-k3-2/,https://www.dplgroup.com/wp-content/uploads/2021/11/Facility-Maintenance.jpg https://www.dplgroup.com/wp-content/uploads/2021/11/Logistics-and-Warehouse.jpg https://www.dplgroup.com/wp-content/uploads/2021/11/Industrial.jpg https://www.dplgroup.com/wp-content/uploads/2021/12/Material-Fabrication.jpg ,"
Made using HPPE Yarn
ANSI Cut Resistance Level “A2”
",https://www.dplgroup.com/wp-content/uploads/2021/11/Arm-sleeve-A2B-new-150x150.jpg https://www.dplgroup.com/wp-content/uploads/2021/11/Arm-sleeve-A2B-scaled-150x150.jpg ,"
PPE Regulation (EU) 2016/425
",https://www.dplgroup.com/wp-content/uploads/2021/12/CE-logo-new-2.jpg https://www.dplgroup.com/wp-content/uploads/2022/02/Book-e1643276242604.jpg ,"
General purpose
Steel & Glass Handling
",,Arm Sleeve A2B,,HPPE/Glass/Nylon/Spandex,,,,,,Black and Green,,,EN 388- 3X2IB,18.0,"14, 18, 20, 22, 24",,,,,,,,,,,,,,,,,,,,,,,,,,
"Categories: All products, Sleeves",,Arm Sleeve A3C,https://www.dplgroup.com/product/arm-sleeve-a3c/,https://www.dplgroup.com/wp-content/uploads/2021/11/Industrial.jpg https://www.dplgroup.com/wp-content/uploads/2021/11/Facility-Maintenance.jpg https://www.dplgroup.com/wp-content/uploads/2021/11/Logistics-and-Warehouse.jpg https://www.dplgroup.com/wp-content/uploads/2021/12/Material-Fabrication.jpg ,"
Made using HPPE Yarn
ANSI Cut Resistance Level “A3”
",https://www.dplgroup.com/wp-content/uploads/2021/11/Arm-sleeve-A3C-new-150x150.jpg https://www.dplgroup.com/wp-content/uploads/2021/11/Arm-sleeve-A3C_1-scaled-150x150.jpg ,"
PPE Regulation (EU) 2016/425
",https://www.dplgroup.com/wp-content/uploads/2021/12/CE-logo-new-2.jpg https://www.dplgroup.com/wp-content/uploads/2022/02/Book-e1643276242604.jpg ,"
General purpose
Steel & Glass Handling
",,Arm Sleeve A3C,,HPPE/Glass/Nylon/Spandex,,,,,,Black and Blue,,,EN 388- 3X21C,15.0,,"18 inch,23 inch",,,,,,,,,,,,,,,,,,,,,,,,,
"Categories: All products, Sleeves",,Arm Sleeve A6,https://www.dplgroup.com/product/arm-sleeve-a6/,https://www.dplgroup.com/wp-content/uploads/2021/12/Automotive-and-Transportation.jpg https://www.dplgroup.com/wp-content/uploads/2021/11/Facility-Maintenance.jpg https://www.dplgroup.com/wp-content/uploads/2021/11/Logistics-and-Warehouse.jpg https://www.dplgroup.com/wp-content/uploads/2021/11/Industrial.jpg ,"
Aramid & Steel Combination
Available as tube and thumb slot
TDM Cut Resistance Level “F”
",https://www.dplgroup.com/wp-content/uploads/2021/11/Arm-Sleeve-A6-1-150x150.jpg https://www.dplgroup.com/wp-content/uploads/2021/11/Arm-sleeve-A6_1-scaled-150x150.jpg ,"
PPE Regulation (EU) 2016/425
",https://www.dplgroup.com/wp-content/uploads/2021/12/CE-logo-new-2.jpg https://www.dplgroup.com/wp-content/uploads/2022/02/Book-e1643276242604.jpg ,"
Automobile industry
Glass fabrication Industry
Metal Manufacturing
General purpose
",,Arm Sleeve A6,,Aramid/steel/cotton/polyester,,,,,,Yellow and Black,,,EN 388- 4X31F,10.0,"14, 18, 20, 22, 24",,,,,,,,,,,,,,,,,,,,,,,,,,
"Categories: All products, Sleeves",,Arm Sleeve C3,https://www.dplgroup.com/product/arm-sleeve-c3/,https://www.dplgroup.com/wp-content/uploads/2021/12/Material-Fabrication.jpg https://www.dplgroup.com/wp-content/uploads/2021/11/Industrial.jpg https://www.dplgroup.com/wp-content/uploads/2021/11/Logistics-and-Warehouse.jpg https://www.dplgroup.com/wp-content/uploads/2021/11/Facility-Maintenance.jpg ,"
TDM Cut Resistance Level “B”
Available in single-ply and two-ply
Available as tube & thumb slot
Made using HPPE Yarn
",https://www.dplgroup.com/wp-content/uploads/2021/11/Arm-sleeve-C3-new-150x150.jpg ,"
PPE Regulation (EU) 2016/425
",https://www.dplgroup.com/wp-content/uploads/2021/11/CE-logo-new-294x300.jpg https://www.dplgroup.com/wp-content/uploads/2022/02/Book-e1643276242604.jpg ,"
Steel and Glass Industry
General Purpose
",,Arm sleeve C3,,HPPE/Glass/Nylon/Spandex,,,,,,Black and White,,,EN 388- 3X41B,13.0,"14, 18, 20, 22, 24",,,,,,,,,,,,,,,,,,,,,,,,,,
"Categories: All products, Sleeves",,Arm Sleeve C5,https://www.dplgroup.com/product/arm-sleeve-c5/,https://www.dplgroup.com/wp-content/uploads/2021/12/Material-Fabrication.jpg https://www.dplgroup.com/wp-content/uploads/2021/11/Industrial.jpg https://www.dplgroup.com/wp-content/uploads/2021/11/Logistics-and-Warehouse.jpg https://www.dplgroup.com/wp-content/uploads/2021/11/Facility-Maintenance.jpg ,"
TDM Cut Resistance Level “D”
Available in single-ply and two-ply
Available as tube & thumb slot
Available in 10G, 13G & 15G
Made in HPPE Yarn
",https://www.dplgroup.com/wp-content/uploads/2021/11/Arm-sleeve-C5-new-150x150.jpg https://www.dplgroup.com/wp-content/uploads/2021/11/Arm-sleeve-C5_1-scaled-150x150.jpg ,"
PPE Regulation (EU) 2016/425
",,"
General purpose
Steel & Glass Handling
",,,,HPPE/Glass/Nylon/Spandex,,,,"18 inc,23 inch",,,,https://www.dplgroup.com/wp-content/uploads/2021/12/EN-388-3X41D-BW-New-.jpg ,,,,,Arm Sleeve C5,,,,,,,,,,,,,,,,,,,,,,,,
"Categories: All products, Sleeves",,Arm Sleeve K3,https://www.dplgroup.com/product/arm-sleeve-k3/,https://www.dplgroup.com/wp-content/uploads/2021/11/Facility-Maintenance.jpg https://www.dplgroup.com/wp-content/uploads/2021/11/Logistics-and-Warehouse.jpg https://www.dplgroup.com/wp-content/uploads/2021/11/Industrial.jpg https://www.dplgroup.com/wp-content/uploads/2021/12/Material-Fabrication.jpg ,"
100% Kevlar fiber provides cut and heat resistance
TDM Cut Resistance Level “B”
Available in single-ply and two-ply
Available as tube & thumb slot
",https://www.dplgroup.com/wp-content/uploads/2021/11/Arm-sleeve-K3-new-150x150.jpg https://www.dplgroup.com/wp-content/uploads/2021/11/Arm-sleeve-K3_1-scaled-150x150.jpg ,"
PPE Regulation (EU) 2016/425
",,"
Automobile industry
Steel and Glass Industry
Metal Manufacturing
General Purpose
",https://www.dplgroup.com/wp-content/uploads/2022/03/Arm-sleeve-K3.pdf ,Arm sleeve K3,,Kevlar,,,,,,Yellow,,https://www.dplgroup.com/wp-content/uploads/2021/11/EN-388-01-238x300.png https://www.dplgroup.com/wp-content/uploads/2021/12/EN-407-X2XXXX-BW-New-.jpg ,,,"14, 18, 20, 22, 24",,,,,,,,,,,,,,,,,,,,,,,,,,
